THREAD 307458048: 3 moves possible after move #6; creating threads
THREAD 307994624: 7 moves possible after move #6; creating threads
THREAD 309067776: 7 moves possible after move #6; creating threads
THREAD 310140928: 5 moves possible after move #6; creating threads
THREAD 310677504: 2 moves possible after move #5; creating threads
THREAD 311214080: 2 moves possible after move #6; creating threads
THREAD 309604352: 5 moves possible after move #5; creating threads
THREAD 311750656: 2 moves possible after move #6; creating threads
THREAD 312287232: 7 moves possible after move #6; creating threads
THREAD 312823808: 7 moves possible after move #6; creating threads
THREAD 313360384: 5 moves possible after move #6; creating threads
THREAD 314433536: 7 moves possible after move #6; creating threads
THREAD 313896960: 4 moves possible after move #6; creating threads
THREAD 314970112: 4 moves possible after move #6; creating threads
THREAD 315506688: 2 moves possible after move #5; creating threads
THREAD 306384896: 7 moves possible after move #6; creating threads
THREAD 316043264: 2 moves possible after move #6; creating threads
THREAD 316579840: 2 moves possible after move #5; creating threads
THREAD 317652992: 3 moves possible after move #5; creating threads
THREAD 318189568: 5 moves possible after move #7; creating threads
THREAD 318726144: 2 moves possible after move #5; creating threads
THREAD 317116416: 7 moves possible after move #6; creating threads
THREAD 319262720: 7 moves possible after move #5; creating threads
THREAD 319799296: 6 moves possible after move #6; creating threads
THREAD 320872448: 5 moves possible after move #5; creating threads
THREAD 321409024: 5 moves possible after move #6; creating threads
THREAD 321945600: 5 moves possible after move #7; creating threads
THREAD 323018752: 2 moves possible after move #5; creating threads
THREAD 322482176: 5 moves possible after move #6; creating threads
THREAD 323555328: 5 moves possible after move #6; creating threads
THREAD 324091904: 7 moves possible after move #6; creating threads
THREAD 325701632: 2 moves possible after move #6; creating threads
THREAD 325165056: 5 moves possible after move #6; creating threads
THREAD 326238208: 5 moves possible after move #6; creating threads
THREAD 320335872: 2 moves possible after move #6; creating threads
THREAD 326774784: 5 moves possible after move #5; creating threads
THREAD 328384512: 7 moves possible after move #5; creating threads
THREAD 327311360: 5 moves possible after move #5; creating threads
THREAD 328921088: 5 moves possible after move #5; creating threads
THREAD 329457664: 7 moves possible after move #5; creating threads
THREAD 327847936: 3 moves possible after move #5; creating threads
THREAD 329994240: 7 moves possible after move #5; creating threads
THREAD 330530816: 5 moves possible after move #5; creating threads
THREAD 331067392: 3 moves possible after move #5; creating threads
THREAD 331603968: 2 moves possible after move #5; creating threads
THREAD 336433152: 4 moves possible after move #5; creating threads
THREAD 336969728: 5 moves possible after move #6; creating threads
THREAD 335896576: 7 moves possible after move #5; creating threads
THREAD 337506304: 5 moves possible after move #5; creating threads
THREAD 332140544: 3 moves possible after move #5; creating threads
THREAD 339116032: 7 moves possible after move #6; creating threads
THREAD 339652608: 2 moves possible after move #5; creating threads
THREAD 338042880: 3 moves possible after move #5; creating threads
THREAD 338579456: 2 moves possible after move #5; creating threads
THREAD 340189184: 5 moves possible after move #5; creating threads
THREAD 340725760: 4 moves possible after move #6; creating threads
THREAD 341262336: 6 moves possible after move #5; creating threads
THREAD 342335488: 3 moves possible after move #6; creating threads
THREAD 341798912: 3 moves possible after move #6; creating threads
THREAD 344481792: 7 moves possible after move #5; creating threads
THREAD 343945216: 5 moves possible after move #5; creating threads
THREAD 343408640: 3 moves possible after move #6; creating threads
THREAD 345018368: 7 moves possible after move #6; creating threads
THREAD 345554944: 6 moves possible after move #6; creating threads
THREAD 324628480: 7 moves possible after move #6; creating threads
THREAD 333213696: 2 moves possible after move #6; creating threads
THREAD 349847552: 5 moves possible after move #6; creating threads
THREAD 334286848: 2 moves possible after move #6; creating threads
THREAD 350920704: 3 moves possible after move #5; creating threads
THREAD 350384128: 5 moves possible after move #6; creating threads
THREAD 351457280: 3 moves possible after move #6; creating threads
THREAD 356286464: 7 moves possible after move #5; creating threads
THREAD 355749888: 6 moves possible after move #6; creating threads
THREAD 356823040: 7 moves possible after move #6; creating threads
THREAD 358969344: 7 moves possible after move #6; creating threads
THREAD 359505920: 5 moves possible after move #6; creating threads
THREAD 361652224: 3 moves possible after move #6; creating threads
THREAD 332677120: 5 moves possible after move #5; creating threads
THREAD 362188800: 6 moves possible after move #6; creating threads
THREAD 342872064: 2 moves possible after move #6; creating threads
THREAD 333750272: 7 moves possible after move #5; creating threads
THREAD 362725376: 3 moves possible after move #6; creating threads
THREAD 363261952: 5 moves possible after move #6; creating threads
THREAD 346091520: 5 moves possible after move #5; creating threads
THREAD 368091136: 7 moves possible after move #6; creating threads
THREAD 368627712: 5 moves possible after move #6; creating threads
THREAD 369164288: 3 moves possible after move #6; creating threads
THREAD 370237440: 4 moves possible after move #6; creating threads
THREAD 369700864: 3 moves possible after move #6; creating threads
THREAD 347701248: 3 moves possible after move #6; creating threads
THREAD 348774400: 6 moves possible after move #6; creating threads
THREAD 348237824: 4 moves possible after move #7; creating threads
THREAD 371310592: 5 moves possible after move #6; creating threads
THREAD 371847168: 3 moves possible after move #6; creating threads
THREAD 349310976: 5 moves possible after move #6; creating threads
